combo,k,w,f23,f24,d
fw020+no_component__ba,2,mean,285.10196006773515,1389.069576529467,-44.24636723951994
no_component__ba+component_compac+baseline,3,mean,149.29042403505343,1369.556694904317,-63.75924886466987
no_component__ba+baseline,2,mean,142.65752708704227,1362.2858869524746,-71.03005681651234
no_component__ba+component_compac,2,mean,145.4418614553532,1333.3907480181817,-99.92519575080519
interact+component_compac,2,lr23,189.7409290495311,1313.3648408258925,-119.95110294309438
hl_short+component_compac,2,lr23,190.78152776754732,1299.792056522464,-133.52388724652292
hl_short+interact+component_compac,3,lr23,192.92097698005995,1299.6217303279823,-133.69421344100465
interact+component_compac+baseline,3,lr23,190.12522214965077,1292.111856067346,-141.2040877016409
hl_short+component_compac+baseline,3,lr23,190.5613638117809,1283.056706082253,-150.25923768673397
component_compac+baseline,2,lr23,186.2068708126441,1271.2827630519507,-162.0331807170362
interact+baseline,2,lr23,193.07031215386462,1266.4376006589207,-166.87834311006623
hl_short+interact,2,lr23,196.64489543294027,1265.6110583473046,-167.70488542168232
hl_short+interact+baseline,3,lr23,194.9964265247961,1262.2174382165952,-171.09850555239177
no_component__ba+interact,2,lr23,182.09415121184236,1261.9500080390478,-171.3659357299391
hl_short+baseline,2,lr23,193.40727918935042,1252.9218856083269,-180.39405816066005
no_component__ba+hl_short,2,lr23,183.91574431277922,1242.762261650976,-190.553682118011
no_component__ba+baseline,2,lr23,209.4089149307754,984.7781223745744,-448.5378213944125
no_component__ba+component_compac+baseline,3,lr23,220.380949848753,922.6216261053798,-510.6943176636071
no_component__ba+component_compac,2,lr23,220.5111062867693,853.561644311529,-579.7542994574579
no_component__ba+interact+component_compac,3,lr23,221.91446821057116,821.7004236070302,-611.6155201619567
no_component__ba+hl_short+baseline,3,lr23,217.40205411955316,788.1587959880143,-645.1571477809727
no_component__ba+hl_short+component_compac,3,lr23,222.83360376624816,764.0972778778954,-669.2186658910915
no_component__ba+interact+baseline,3,lr23,220.92350394704584,728.7744688566855,-704.5414749123014
no_component__ba+hl_short+interact,3,lr23,224.24459185271806,513.3870377146188,-919.9289060543681
fw020+interact,2,lr23,878.3389770657291,-7114.536542608563,-8547.85248637755
fw020+hl_short,2,lr23,920.63286126991,-7728.541613233597,-9161.857557002584
fw020+no_component__ba,2,lr23,827.3908491288063,-7746.874330205067,-9180.190273974054
fw020+component_compac,2,lr23,979.770416968273,-8492.02697859206,-9925.342922361046
fw020+interact+component_compac,3,lr23,981.9587352876025,-8591.687279162286,-10025.003222931273
fw020+hl_short+component_compac,3,lr23,1003.6655816312746,-8771.063678952018,-10204.379622721004
fw020+no_component__ba+interact,3,lr23,904.5217038966657,-8895.159677540354,-10328.47562130934
fw020+no_component__ba+component_compac,3,lr23,917.0534332055502,-8979.011698990624,-10412.32764275961
fw020+hl_short+interact,3,lr23,944.3224312115084,-9321.364753654505,-10754.680697423491
fw020+no_component__ba+hl_short,3,lr23,930.0045490036823,-9390.181675095311,-10823.497618864298
fw020+hl_short+baseline,3,lr23,979.795131447525,-11239.045767942656,-12672.361711711643
fw020+no_component__ba+baseline,3,lr23,931.1017484023743,-11590.139218099304,-13023.45516186829
fw020+component_compac+baseline,3,lr23,1022.4585556563359,-11644.118248570612,-13077.434192339599
fw020+interact+baseline,3,lr23,984.3190177201367,-12154.807945112256,-13588.123888881242
fw020+baseline,2,lr23,1001.6163523407506,-14212.250219651845,-15645.566163420832
