combo,k,w,f23,f24,d
baseline+depthwise,2,lr23,526.2540553196416,819.5571442359162,87.59559561608569
all+l2_1+ordinal_numeric_+baseline,4,lr23,538.9583559791688,818.7772019120132,86.81565329218267
l2_1+ordinal_numeric_+baseline+depthwise,4,lr23,534.5749055162496,818.7143734846746,86.75282486484411
all+ordinal_numeric_+bayesian+baseline,4,lr23,538.5517665566497,817.6134009792668,85.65185235943625
l2_1+baseline,2,lr23,529.6691946766518,816.7659102458202,84.80436162598971
split_ball_id_fr+l2_1+ordinal_numeric_+baseline,4,lr23,555.1009340908797,816.0746949567033,84.11314633687277
all+ordinal_numeric_+baseline+depthwise,4,lr23,536.2601815741774,815.1203861298195,83.15883750998898
split_ball_id_fr+l2_1+baseline+depthwise,4,lr23,561.9084905349458,814.7121000446456,82.75055142481506
split_ball_id_fr+all,2,lr23,560.0714119201156,813.9794206153849,82.0178719955544
split_ball_id_fr+all+ordinal_numeric_,3,lr23,553.0946270231874,811.914780551104,79.95323193127342
split_ball_id_fr+depthwise,2,lr23,559.5925971406568,809.5519482176906,77.59039959786003
split_ball_id_fr+all+ordinal_numeric_+baseline,4,lr23,553.3631465411748,807.6858804642151,75.72433184438455
ordinal_numeric_+bayesian,2,lr23,532.9856239576269,807.0557960846547,75.0942474648242
l2_1+ordinal_numeric_,2,lr23,533.2569792196762,806.2628579511455,74.301309331315
split_ball_id_fr+ordinal_numeric_+baseline+depthwise,4,lr23,559.9032490939182,805.60528508834,73.64373646850947
ordinal_numeric_+depthwise,2,lr23,528.4868422193667,804.218223180131,72.25667456030044
split_ball_id_fr+ordinal_numeric_,2,lr23,559.7022304831056,799.2331381736273,67.27158955379673
all+baseline,2,lr23,530.9209924008851,798.9197094946165,66.95816087478602
ordinal_numeric_+bayesian+baseline,3,lr23,536.172492707998,794.662604922336,62.701056302505435
split_ball_id_fr+baseline,2,lr23,557.5365792688136,792.0880342039083,60.12648558407773
l2_1+ordinal_numeric_+baseline,3,lr23,533.8811693156642,786.6693817184633,54.70783309863282
ordinal_numeric_+baseline+depthwise,3,lr23,530.5134794381106,783.1884394891797,51.22689086934918
all+ordinal_numeric_,2,lr23,528.5908736477606,780.1577935015902,48.19624488175964
all+ordinal_numeric_+baseline,3,lr23,533.9264590405568,775.7172071177321,43.75565849790155
split_ball_id_fr+ordinal_numeric_+baseline,3,lr23,553.2617225333713,775.5756382443412,43.61408962451071
all+l2_1+bayesian+depthwise,4,mean,506.6661740489198,739.9743588813568,8.012810261526283
all+l2_1+depthwise,3,mean,503.45296758695923,739.4085553487861,7.447006728955557
l2_1+bayesian+depthwise,3,mean,503.0487202031253,739.2298000311381,7.268251411307574
l2_1+bayesian,2,mean,507.1282419737977,739.1175603042144,7.156011684383884
all+l2_1+bayesian,3,mean,509.4631469353517,738.7072759793334,6.745727359502894
all+l2_1,2,mean,505.6881074242736,737.0873326021155,5.125783982284929
l2_1+depthwise,2,mean,495.2527482893654,735.9215074313807,3.959958811550223
all+bayesian+depthwise,3,mean,505.1830107308697,734.8484406691891,2.8868920493586074
bayesian+depthwise,2,mean,500.98297607181763,734.051117605461,2.0895689856304216
all+depthwise,2,mean,499.8240019311817,731.7365856081448,-0.22496301168575883
split_ball_id_fr+l2_1+bayesian+depthwise,4,mean,516.4424756155195,727.6570082872413,-4.304540332589227
split_ball_id_fr+all+l2_1+bayesian,4,mean,521.0457075323083,727.6255527718934,-4.33599584793717
split_ball_id_fr+all+l2_1+depthwise,4,mean,516.7941516336816,727.5907304135632,-4.370818206267359
