k,combo,f23,f24,off24
3,split_ball_no_+interact+split_ball_rat,510.2101495113143,826.9815067538766,-0.014347159536151621
4,interact+bayesian+split_ball_rat+split_ball_rat,519.6840811339088,826.7971479249403,-0.014687685404106227
5,split_ball_id_+split_ball_no_+mtend+split_ball_rat+split_ball_rat,517.596274928589,826.7350825223674,-0.014462990738841719
5,split_ball_no_+interact+id_frequency__+split_ball_rat+split_ball_rat,519.7597733060388,826.6010315445271,-0.014278625472596673
4,split_ball_no_+bayesian+id_frequency__+split_ball_rat,523.4212695813811,826.5930484894878,-0.014776901560151934
2,split_ball_no_+bayesian,516.3702731712738,826.4754538634068,-0.01522257266808602
5,split_ball_id_+bayesian+split_ball_rat+split_ball_rat+split_ball_rat,520.2000327534928,826.2462869990328,-0.014523222224501947
4,interact+bayesian+split_ball_rat+split_ball_rat,518.6120356417968,826.0162589912245,-0.014761069108958996
5,split_ball_no_+interact+id_frequency__+split_ball_rat+split_ball_rat,518.8674750680188,825.9837109444002,-0.014337324632464704
5,split_ball_no_+split_ball_rat+mtend+split_ball_id_+split_ball_rat,514.7731982683035,825.9085633237961,-0.014524871039598652
5,split_ball_no_+mtend+split_ball_id_+split_ball_rat+split_ball_rat,513.9919850645435,825.3865967537632,-0.014583886755649339
2,split_ball_id_+split_ball_rat,519.7623698224629,825.2263318697217,-0.014357817622573876
5,bayesian+split_ball_rat+split_ball_id_+split_ball_rat+split_ball_rat,516.5864978870837,824.8444824354273,-0.014643966838187555
4,split_ball_id_+split_ball_no_+split_ball_rat+split_ball_rat,510.5601575255414,824.7455907981149,-0.014144789183760276
3,split_ball_no_+split_ball_rat+mtend,509.14838865872,824.3791873138839,-0.01462874264153008
5,split_ball_no_+id_frequency__+split_ball_rat+mtend+split_ball_rat,517.6901370320342,824.2960122847643,-0.014505715985916462
4,split_ball_no_+split_ball_rat+split_ball_id_+split_ball_rat,506.4295116494089,824.0476620783866,-0.01429965034169381
5,interact+split_ball_rat+mtend+split_ball_rat+split_ball_rat,514.2448135061705,823.968204077552,-0.01449326832143702
5,split_ball_no_+id_frequency__+mtend+split_ball_rat+split_ball_rat,516.8820838630351,823.7619462100221,-0.014564704446783483
3,split_ball_no_+mtend+split_ball_rat,507.71253349803925,823.4409503996231,-0.014726857463109727
5,bayesian+id_frequency__+split_ball_rat+split_ball_rat+split_ball_rat,519.5624569734991,823.3746427130928,-0.014625383064144543
4,split_ball_id_+split_ball_no_+interact+split_ball_rat,525.0754165342375,823.0357248560027,-0.01459057592887747
4,bayesian+split_ball_rat+mtend+split_ball_rat,517.3388107246213,822.8274486159703,-0.014967309551016411
3,bayesian+split_ball_rat+split_ball_rat,512.1750991948004,822.3729888721442,-0.014826439411946779
4,bayesian+mtend+split_ball_rat+split_ball_rat,516.3977651088003,822.176149313325,-0.015041144705525616
4,split_ball_no_+interact+split_ball_id_+split_ball_rat,520.4875389556829,822.1549969624431,-0.014744762416587426
5,split_ball_id_+split_ball_no_+split_ball_rat+split_ball_id_+split_ball_rat,519.9819594047806,822.0748058341609,-0.014505896236119503
