target,axis,combo,n,target_mean,pred_mean,offset,null,brier,bss_raw,bss_centered,bss_norm,d,cell_median,cell_contrib
reverse,nop_situation,count_multiscale+drop_ids+trackman_quality,253035,0.2480012646471832,0.25832080348174874,0.010319538834565545,0.186496637380581,0.18384755523828783,1420.4449900548254,1477.5467604962844,14.204449900548255,-14.0580682411628,2999.5,0.030307622367025305
reverse,b_hand,count_multiscale+drop_ids+trackman_quality,253035,0.2480012646471832,0.25828009632080695,0.010278831673623756,0.186496637380581,0.18384408222876064,1422.3072271310366,1478.9593909762643,14.223072271310366,-12.645437761182848,208.0,0.19685039370078738
ball,(기준),drop_ids+no_trackman+rate_multiscale,253035,0.3656529729088861,0.3704239562227122,0.004770983313826083,0.23195087631177952,0.22801932461544996,1694.993249796961,1704.8066560417797,16.949932497969613,0.0,,
ball,p_hand,drop_ids+no_trackman+rate_multiscale,253035,0.3656529729088861,0.3762527839960018,0.010599811087115718,0.23195087631177952,0.22822692257600946,1605.4924193364407,1653.9319841568756,16.054924193364407,-50.874671884904046,393.0,0.1443001443001443
ball,p_count,drop_ids+no_trackman+rate_multiscale,253035,0.3656529729088861,0.37638547591110183,0.010732503002215732,0.23195087631177952,0.22826558435606467,1588.8243296659166,1638.4842501301566,15.888243296659166,-66.32240591162304,81.0,0.26246719160104987
ball,p_inning,drop_ids+no_trackman+rate_multiscale,253035,0.3656529729088861,0.3741595806300296,0.008506607721143478,0.23195087631177952,0.228138986805985,1643.4037958411252,1674.601080400706,16.434037958411253,-30.205575641073665,88.0,0.25773195876288657
ball,p_workload,drop_ids+no_trackman+rate_multiscale,253035,0.3656529729088861,0.3749524644175415,0.009299491508655389,0.23195087631177952,0.22817605921245143,1627.420926081835,1664.7049164226435,16.274209260818353,-40.1017396191362,400.0,0.14285714285714285
ball,nop_count,drop_ids+no_trackman+rate_multiscale,253035,0.3656529729088861,0.37008494387945096,0.004431970970564858,0.23195087631177952,0.2280210204021035,1694.2621524713043,1702.7304829196676,16.94262152471304,-2.0761731221120954,141699.0,0.0007042303114810668
ball,nop_situation,drop_ids+no_trackman+rate_multiscale,253035,0.3656529729088861,0.37048961657892454,0.004836643670038443,0.23195087631177952,0.22802544374396913,1692.3551358064115,1702.4405135221298,16.923551358064117,-2.366142519649884,2999.5,0.030307622367025305
ball,b_hand,drop_ids+no_trackman+rate_multiscale,253035,0.3656529729088861,0.3678758797855202,0.002222906876634123,0.23195087631177952,0.2280204706470242,1694.499166052832,1696.6294942760696,16.94499166052832,-8.177161765710025,208.0,0.19685039370078738
