k,combo,f23,f24,off24,m
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,575.2999384084245,958.7544835593653,-0.004665656843812704,575.2999384084245
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,531.9607194601339,962.169866996343,-0.0028277100198159377,531.9607194601339
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,559.0916285157066,963.8157981501805,-0.002798740815450007,559.0916285157066
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,553.2472214614281,940.1263616090283,-0.007002247010637064,553.2472214614281
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,535.5252132496879,943.5136151134116,-0.006220139281725157,535.5252132496879
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,570.5670507701876,945.3571516129133,-0.006196586725577186,570.5670507701876
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,562.3336334855788,898.0883756883884,-0.010318773670294046,562.3336334855788
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,547.1650761070257,920.937971631175,-0.008511653788847079,547.1650761070257
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,570.334107426429,928.6525317232619,-0.008738801855400352,570.334107426429
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,580.242020380517,943.8131930984194,-0.007208830202609012,580.242020380517
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,568.5189099443155,913.399253472913,-0.009696233179279035,568.5189099443155
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,575.4061346405659,930.1381041576517,-0.00834120577956865,575.4061346405659
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,566.8492404202752,887.7960817919361,-0.011404149736661429,566.8492404202752
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_rate_mu,595.6484901279424,890.415581930959,-0.011396282728650592,595.6484901279424
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,574.3400243231279,963.5844209153311,-0.004357187140880681,574.3400243231279
