axis,axis_title,lam,fit,eval,scope,n_bins,bss,delta,bss_self,best_solo,best_solo_name,vs_solo,w
a8_hand,A8 손 매치업,0.75,2022,2024,all,4,876.5751949989852,6.094877789342149,914.8074586665556,820.9547937182093,cw_v17_base,55.62040128077592,
a8_hand,A8 손 매치업,1.0,2022,2024,all,4,877.7267804512156,7.246463241572542,918.8367313341605,820.9547937182093,cw_v17_base,56.771986733006315,
a9_batn,A9 타자 누적 이력,0.0,2022,2024,all,5,870.4803172096431,0.0,870.4803172096431,820.9547937182093,cw_v17_base,49.52552349143377,
a9_batn,A9 타자 누적 이력,0.25,2022,2024,all,5,870.8842078563595,0.403890646716377,889.9853383341872,820.9547937182093,cw_v17_base,49.92941413815015,
a9_batn,A9 타자 누적 이력,0.5,2022,2024,all,5,870.9546262492429,0.4743090395998024,904.7225777265022,820.9547937182093,cw_v17_base,49.999832531033576,
a9_batn,A9 타자 누적 이력,0.75,2022,2024,all,5,870.6915723882047,0.2112551785616006,914.6920353865551,820.9547937182093,cw_v17_base,49.736778669995374,
a9_batn,A9 타자 누적 이력,1.0,2022,2024,all,5,870.095046273367,-0.38527093627612885,919.8937113144679,820.9547937182093,cw_v17_base,49.140252555157645,
a10_base,A10 주자 상황,0.0,2022,2024,all,8,870.4803172096431,0.0,870.4803172096431,820.9547937182093,cw_v17_base,49.52552349143377,
a10_base,A10 주자 상황,0.25,2022,2024,all,8,871.8604989519152,1.380181742272157,890.7259942027346,820.9547937182093,cw_v17_base,50.90570523370593,
a10_base,A10 주자 상황,0.5,2022,2024,all,8,872.8515315768459,2.3712143672028105,905.7590528316672,820.9547937182093,cw_v17_base,51.896737858636584,
a10_base,A10 주자 상황,0.75,2022,2024,all,8,873.453415084291,2.9730978746479195,915.5794930964855,820.9547937182093,cw_v17_base,52.49862136608169,
a10_base,A10 주자 상황,1.0,2022,2024,all,8,873.6661494744169,3.1858322647738078,920.1873149971451,820.9547937182093,cw_v17_base,52.71135575620758,
a11_typemo,A11 game_type x 월블록,0.0,2022,2024,all,6,870.4803172096431,0.0,870.4803172096431,820.9547937182093,cw_v17_base,49.52552349143377,
a11_typemo,A11 game_type x 월블록,0.25,2022,2024,all,6,871.8541812494763,1.3738640398331654,890.8700974702532,820.9547937182093,cw_v17_base,50.89938753126694,
a11_typemo,A11 game_type x 월블록,0.5,2022,2024,all,6,872.5424993551889,2.062182145545762,906.3183148384612,820.9547937182093,cw_v17_base,51.587705636979535,
a11_typemo,A11 game_type x 월블록,0.75,2022,2024,all,6,872.5452715267479,2.064954317104821,916.8249693142783,820.9547937182093,cw_v17_base,51.590477808538594,
a11_typemo,A11 game_type x 월블록,1.0,2022,2024,all,6,871.8624977641975,1.382180554554452,922.3900608977043,820.9547937182093,cw_v17_base,50.907704045988226,
a12_role,A12 투수 역할(전시즌),0.0,2022,2024,all,4,870.4803172096431,0.0,870.4803172096431,820.9547937182093,cw_v17_base,49.52552349143377,
a12_role,A12 투수 역할(전시즌),0.25,2022,2024,all,4,870.6156979451873,0.13538073554423136,890.796055642873,820.9547937182093,cw_v17_base,49.660904226978005,
a12_role,A12 투수 역할(전시즌),0.5,2022,2024,all,4,870.6585011543976,0.1781839447545508,905.6840497836394,820.9547937182093,cw_v17_base,49.703707436188324,
a12_role,A12 투수 역할(전시즌),0.75,2022,2024,all,4,870.6087268372187,0.12840962757559282,915.1442996319425,820.9547937182093,cw_v17_base,49.653933119009366,
a12_role,A12 투수 역할(전시즌),1.0,2022,2024,all,4,870.4663749937058,-0.01394221593727707,919.176805187838,820.9547937182093,cw_v17_base,49.511581275496496,
a13_tens,A13 이닝 x 점수차,0.0,2022,2024,all,9,870.4803172096431,0.0,870.4803172096431,820.9547937182093,cw_v17_base,49.52552349143377,
a13_tens,A13 이닝 x 점수차,0.25,2022,2024,all,9,871.7527780970457,1.2724608874026444,890.9198009711905,820.9547937182093,cw_v17_base,50.79798437883642,
