model,season,scope,axis,axis_title,bin,n,share,rate,pred_mean,bias,auc,brier,bss_local,deficit,shift_gain_self
ye_hand,2022,all,a4_prevp,A4 전시즌 투구수,2001-2600,25838,0.1044077713842374,0.4974456227262172,0.49739993231367813,-4.56904125390456e-05,0.5326131412035402,0.24913369532886379,343.9209072718108,10439.523701073564,8.747790496190185e-05
ye_hand,2022,all,a4_prevp,A4 전시즌 투구수,2601+,26167,0.1057372147152001,0.5386937746015974,0.5231945978209721,-0.01549917678062529,0.5428798486649788,0.247402759403274,442.66400220596137,10498.996586127721,10.19437297593589
ye_hand,2022,all,a5_asofn,A5 투수 누적 이력,0-99,7598,0.03070246330898041,0.5627796788628586,0.5671985133493309,0.0044188344864722895,0.6022754728096107,0.23850447013213238,3070.0972669248204,2938.902195073834,0.24060468503913215
ye_hand,2022,all,a5_asofn,A5 투수 누적 이력,100-499,24668,0.09967996379388375,0.5625912112858764,0.5534159832102412,-0.0091752280756352,0.6047878533990296,0.23793985273836527,3308.846755307737,9518.980761906412,3.367883017056995
ye_hand,2022,all,a5_asofn,A5 투수 누적 이력,500-1499,52007,0.21015306782181417,0.5395812102217009,0.539158236547544,-0.00042297367415689013,0.5829768835552348,0.24237529398755328,2438.494812086156,20442.75727724723,0.01508960247825354
ye_hand,2022,all,a5_asofn,A5 투수 누적 이력,1500-3999,84781,0.3425882524083533,0.5200811502577228,0.5190539158045434,-0.0010272344531794264,0.5662315385136834,0.24560200240236763,1600.4795909811853,33769.12121498338,0.1450865019271493
ye_hand,2022,all,a5_asofn,A5 투수 누적 이력,4000-7999,61682,0.24924839981896943,0.5162770338186181,0.5154095803768959,-0.0008674534417222324,0.5523215352744048,0.2473278535101778,963.9033772544936,24741.202066456255,0.0752731545479934
ye_hand,2022,all,a5_asofn,A5 투수 누적 이력,8000+,16736,0.06762785284799896,0.5221677820267686,0.5169977415067032,-0.005170040520065422,0.5348608171135465,0.2486825393056686,331.0708205272683,6749.728145553911,0.725485742298478
ye_hand,2022,all,a6_psucc,A6 투수 수준 5분위,Q1 최저,35954,0.14528512316544903,0.46845969850364355,0.47031152578007956,0.0018518272764360133,0.554153409809983,0.24629460564600295,1088.5731034497637,14361.223298698622,0.19995740338729853
ye_hand,2022,all,a6_psucc,A6 투수 수준 5분위,Q2,42717,0.17261346738216848,0.4863871526558513,0.49261906084080037,0.006231908184949064,0.5338804393259867,0.24829944732824663,606.5468194003332,17201.480146185004,2.69049480662341
ye_hand,2022,all,a6_psucc,A6 투수 수준 5분위,Q3,47290,0.1910923255964311,0.5141679001903151,0.512667501156916,-0.001500399033399158,0.5344665779239072,0.24820983042172504,636.2869589762176,19036.084010069997,0.17265222767705976
ye_hand,2022,all,a6_psucc,A6 투수 수준 5분위,Q4,56287,0.22744795370789422,0.534297439906195,0.5296584336932131,-0.0046390062129819665,0.5329842037601519,0.24724267173877945,635.3952491251813,22569.44351535193,1.964478731850265
ye_hand,2022,all,a6_psucc,A6 투수 수준 5분위,Q5 최고,65136,0.26320553436348354,0.5962294276590518,0.5893999366189029,-0.006829491040148961,0.5772573553917086,0.23625468913229758,1863.0929776509154,24956.911730199994,4.927051311143816
ye_hand,2022,all,a7_inning,A7 이닝,1-3회,83348,0.33679769832546713,0.534217977635936,0.5317662037569498,-0.0024517738789862076,0.5678644551243112,0.2447547537529085,1637.419322043021,33083.81926142076,0.8125410884162801
ye_hand,2022,all,a7_inning,A7 이닝,4-6회,82551,0.33357713195836297,0.5319014911993798,0.5286659163777471,-0.003235574821632725,0.5708292570010741,0.24440682519533238,1837.6686850403944,32720.881051486445,1.4015692280137808
ye_hand,2022,all,a7_inning,A7 이닝,7-8회,56423,0.22799751082950798,0.525370859401308,0.5215176183273954,-0.0038532410739126055,0.5788976617365268,0.2437782030955807,2237.0062282739077,22306.9588526173,1.3586195409619308
ye_hand,2022,all,a7_inning,A7 이닝,9회+,25150,0.10162765888666192,0.5095427435387674,0.519363100133406,0.009820356594638646,0.5622705075707889,0.24637517191948144,1414.020715779818,10049.032495696523,3.9335242003183266
ye_hand,2022,all,a8_hand,A8 손 매치업,1v1,30719,0.12413121484450766,0.4951984114066213,0.5069481917679614,0.011749780361340056,0.5741906702716311,0.24518763354295794,1915.9011679535597,12215.041782142662,6.877900545904922
ye_hand,2022,all,a8_hand,A8 손 매치업,1v2,31497,0.12727500484903342,0.5358605581483951,0.5342653511048848,-0.0015952070435102383,0.5649406587471072,0.24456805114049554,1666.9624103354486,12492.755323053087,0.1299848174080704
ye_hand,2022,all,a8_hand,A8 손 매치업,2v1,94115,0.38030565074028577,0.535398183073899,0.5278121827139023,-0.007586000359996681,0.5693138791717612,0.2443684103497961,1760.2458873355654,37298.660139192434,8.783627007874987
ye_hand,2022,all,a8_hand,A8 손 매치업,2v2,91141,0.36828812956617313,0.5311989115765682,0.5307751650528957,-0.0004237465236724969,0.5700227017698085,0.24459977845190234,1777.6610885244736,36154.23441683283,0.026540885412214936
ye_hand,2022,all,a9_batn,A9 타자 누적 이력,0-99,7586,0.030653972974720372,0.626021618771421,0.6176745641546781,-0.0083470546167429,0.6109881730847665,0.22566432140576922,3611.089398342593,2776.2914764106836,0.8571733688141912
ye_hand,2022,all,a9_batn,A9 타자 누적 이력,100-499,22595,0.09130325855046227,0.58220845319761,0.5749787270742488,-0.0072297261233612575,0.6039491493213253,0.23543642084940347,3208.885285739238,8627.308210129757,1.9153377035155486
ye_hand,2022,all,a9_batn,A9 타자 누적 이력,500-1499,44050,0.177999935346221,0.5511691259931896,0.5473280056281922,-0.003841120364997397,0.5887695581936547,0.24104042525271743,2563.364535747803,17219.681663966174,1.054025375104308
ye_hand,2022,all,a9_batn,A9 타자 누적 이력,1500-3999,56362,0.22775101829701946,0.5261701146162308,0.5222565837771872,-0.003913530839043555,0.5623649464305458,0.24586437672776917,1384.0910661984894,22473.53159807144,1.399952296812625
ye_hand,2022,all,a9_batn,A9 타자 누적 이력,4000+,116879,0.4722918148315769,0.5052575740723312,0.5067511901726034,0.0014936161002722104,0.5462616710615832,0.24829153196677792,672.4047259131116,47063.87871264295,0.4228669865373092
ye_hand,2022,all,a10_base,A10 주자 상황,___,131972,0.533280532747139,0.5251947382778165,0.5257592530381848,0.0005645147603683398,0.5690865060435241,0.24496092565081126,1766.2043732922905,52428.560498866966,0.0682058653075974
ye_hand,2022,all,a10_base,A10 주자 상황,1__,49178,0.19872147152001035,0.5336125909959738,0.5271312557455822,-0.006481335250391629,0.5733311357208151,0.24424442722426024,1858.706514031172,19479.815848156893,3.3503421085832574
ye_hand,2022,all,a10_base,A10 주자 상황,_2_,18519,0.07483270834680288,0.5323181597278471,0.529153886780458,-0.0031642729473890796,0.5666306372097922,0.2448782806618455,1637.7446135291796,7354.567189114645,0.30071474895222755
ye_hand,2022,all,a10_base,A10 주자 상황,__3,6094,0.024625008081722376,0.5336396455530029,0.5276357909509222,-0.006003854602080749,0.5754848637508191,0.24431642541404883,1829.0587732535669,2414.595775003623,0.3562477279182893
ye_hand,2022,all,a10_base,A10 주자 상황,12_,20472,0.08272451024762398,0.5308714341539664,0.5301380344603432,-0.0007333996936231824,0.5752486111019562,0.24388589818407053,2072.3226182244757,8097.226416758895,0.017857926952519313
ye_hand,2022,all,a10_base,A10 주자 상황,1_3,8071,0.032613790651063554,0.5389666707966795,0.5303502843181013,-0.008616386478578208,0.5758878931939566,0.24343821681953304,2029.6801761478523,3186.437660483266,0.9717778799980467
ye_hand,2022,all,a10_base,A10 주자 상황,_23,5375,0.021719628887308464,0.5382325581395349,0.527140872797212,-0.011091685342322855,0.5699338730041922,0.24445944356595417,1641.126699548956,2130.9566176270464,1.072414977607879
ye_hand,2022,all,a10_base,A10 주자 상황,123,7791,0.031482349518329344,0.5286869464767039,0.5340419210670135,0.005354974590309647,0.5884985343440066,0.24285557781016437,2536.9435350365397,3068.53165520968,0.3623242100926486
ye_hand,2022,all,a11_typemo,A11 game_type x 월블록,R|early,75061,0.3033110816577229,0.5135822864070556,0.5148606289820107,0.0012783425749550714,0.5393715821690963,0.24888244994222244,373.5042355041851,30296.882325553106,0.19892903386076072
ye_hand,2022,all,a11_typemo,A11 game_type x 월블록,R|mid,64405,0.2602516648348096,0.5053179101001475,0.5126737036445312,0.00735579354438376,0.5388987506506274,0.2488438702496232,451.1908720317703,25991.769845600298,5.651555126644415
ye_hand,2022,all,a11_typemo,A11 game_type x 월블록,R|late,77558,0.31340111204499904,0.4927667036282524,0.5046541429185247,0.011887439290272306,0.5384471471067048,0.24904913182697597,359.49427443962014,31325.712254588536,17.774301643012112
ye_hand,2022,all,a11_typemo,A11 game_type x 월블록,F|early,11199,0.045253604448179996,0.7355120992945798,0.6357508202238856,-0.09976127907069421,0.5180834948971624,0.2076974071823843,-6766.6077085468905,3772.2428194927543,180.75594208572753
ye_hand,2022,all,a11_typemo,A11 game_type x 월블록,F|mid,9014,0.03642432275166484,0.6954737075660085,0.6562423578447041,-0.039231349721304376,0.5120537028271941,0.21582605756259127,-1905.6741806283028,3155.0827360682674,22.49952628907716
ye_hand,2022,all,a11_typemo,A11 game_type x 월블록,F|late,10235,0.04135821426262365,0.6911577918905716,0.645951005359679,-0.045206786530892606,0.5093493271339445,0.2180276716026126,-2140.448261452077,3619.0016799180476,33.922233680916364
ye_hand,2022,all,a12_role,A12 투수 역할(전시즌),불펜(<30구/경기),74570,0.30132701881424967,0.5214831701756739,0.5197774025548024,-0.00170576762087149,0.5753823523217638,0.2444593619592565,2035.4021449114023,29563.79198694446,0.3518788764492492
ye_hand,2022,all,a12_role,A12 투수 역할(전시즌),스윙(30-70),40554,0.16387308463179673,0.5338067761503181,0.5362909857923055,0.002484209641987367,0.5752755294721018,0.24370113197577783,2071.8596622167906,16028.045409317918,0.4058817309925388
ye_hand,2022,all,a12_role,A12 투수 역할(전시즌),선발(>=70),71969,0.29081673886338655,0.5135822367963985,0.5100959743363216,-0.0034862624600768832,0.5428121619409064,0.24840858032620236,563.1925916328995,28993.549191065264,1.4185836435835781
ye_hand,2022,all,a12_role,A12 투수 역할(전시즌),전시즌없음,60379,0.24398315769056703,0.5531062124248497,0.5503813815653115,-0.00272483085953823,0.5890481738751708,0.24075875262243987,2597.6958443163835,23575.305073893374,0.727033353617077
ye_hand,2022,all,a13_tens,A13 이닝 x 점수차,초반|0-1점,60246,0.24344572315251828,0.5335457955714902,0.5319471530644292,-0.0015986425070609878,0.5684972427781126,0.2447955208943739,1639.0412683470413,23917.787633524284,0.24970098253772122
ye_hand,2022,all,a13_tens,A13 이닝 x 점수차,초반|2-3점,16623,0.06717123553371694,0.532334716958431,0.530917124012919,-0.001417592945512025,0.5650616394672844,0.24498688621009349,1593.697004761574,6604.524622165248,0.054175360810884685
ye_hand,2022,all,a13_tens,A13 이닝 x 점수차,초반|4점+,6479,0.026180739639231912,0.5453002006482481,0.5322620797573542,-0.013038120890893956,0.5685807118951582,0.24378009793557434,1680.9152338585375,2561.507005731231,1.7861885781501063
ye_hand,2022,all,a13_tens,A13 이닝 x 점수차,중반|0-1점,34313,0.1386540699553889,0.5306735056684055,0.5302838125252826,-0.0003896931431229822,0.5725161409648859,0.24436007259426704,1886.7259921754865,13598.10081377881,0.008450716637463586
ye_hand,2022,all,a13_tens,A13 이닝 x 점수차,중반|2-3점,27832,0.1124652485937803,0.536540672607071,0.5273694881329885,-0.009171184474082494,0.5703052724320218,0.24428397646957534,1761.7303058121593,11026.272402929199,3.79651040915207
ye_hand,2022,all,a13_tens,A13 이닝 x 점수차,중반|4점+,20406,0.08245781340919377,0.527638929726551,0.5277136141331975,7.468440664648579e-05,0.5686737687276735,0.24465299532841212,1838.8565809967395,8096.5078347784365,0.00018458953386826714
ye_hand,2022,all,a13_tens,A13 이닝 x 점수차,후반|0-1점,27707,0.11196014094523825,0.5245605803587541,0.5213053162866776,-0.003255264072076436,0.5626925484259908,0.24562834374259299,1511.0195816055993,11037.159163103266,0.47615820850196333
ye_hand,2022,all,a13_tens,A13 이닝 x 점수차,후반|2-3점,24107,0.097413040667227,0.5210104948770067,0.5217028136607075,0.000692318783700796,0.5862868640157451,0.24334025532599501,2491.721302338257,9513.63418736147,0.018738926963186235
ye_hand,2022,all,a13_tens,A13 이닝 x 점수차,후반|4점+,29759,0.12025198810370466,0.5162807890050068,0.5197444275670602,0.0034636385620533394,0.573453062915352,0.24460516387704967,2054.0866713923856,11805.197997849084,0.5789922980345008
sj_cb_ft_fonly,2022,all,a1_count,A1 볼카운트,0-0,64084,0.2589545483933536,0.5315991511141627,0.5301356456054812,-0.001463505508681462,0.5821849580587027,0.2429005253460497,2450.1733758344635,25244.535654278003,0.22260127912436356
sj_cb_ft_fonly,2022,all,a1_count,A1 볼카운트,0-1,31161,0.12591727548975237,0.5402265652578544,0.534297804417276,-0.005928760840578362,0.5777883910271798,0.2430401072860182,2150.6067100217074,12282.270431236268,1.7763501243940991
sj_cb_ft_fonly,2022,all,a1_count,A1 볼카운트,0-2,15595,0.06301723023210706,0.5218339211285669,0.5256824459074072,0.0038485247788403454,0.5643905866395531,0.24526870058292669,1705.0831117368825,6203.214948105024,0.3745961195718481
sj_cb_ft_fonly,2022,all,a1_count,A1 볼카운트,1-0,25393,0.10260958815542769,0.5280195329421494,0.5298601838090795,0.0018406508669300825,0.587591253685245,0.24245539733410912,2712.3210863368554,9984.703894588465,0.13952311795577066
sj_cb_ft_fonly,2022,all,a1_count,A1 볼카운트,1-1,25225,0.10193072347578716,0.5361744301288405,0.5305855939935081,-0.005588836135332342,0.5824293094459453,0.24259160491246923,2452.760904588058,9924.217264989784,1.2778010726659856
sj_cb_ft_fonly,2022,all,a1_count,A1 볼카운트,1-2,23740,0.09593004461110752,0.5291491154170177,0.5241211060072698,-0.005028009409747902,0.5652969252468394,0.24517143927756282,1596.9835591580495,9439.302673901278,0.973334683281693
sj_cb_ft_fonly,2022,all,a1_count,A1 볼카운트,2-0,8700,0.03515549233852719,0.5264367816091954,0.524898097601268,-0.0015386840079273378,0.6023284542332641,0.2403441966363502,3592.804068950328,3391.1126239908094,0.03340469059826611
sj_cb_ft_fonly,2022,all,a1_count,A1 볼카운트,2-1,13114,0.052991853623844315,0.5273753240811346,0.5277433324279303,0.000368008346795623,0.5984775401904866,0.24101596542815365,3303.7539246747683,5125.902159728615,0.00288031401927363
sj_cb_ft_fonly,2022,all,a1_count,A1 볼카운트,2-2,20240,0.08178703045192992,0.5267786561264822,0.5236485438885784,-0.003130112237903826,0.582528549861362,0.24291454475681315,2554.671310342549,7973.579863044148,0.321602673277975
sj_cb_ft_fonly,2022,all,a1_count,A1 볼카운트,3-0,2809,0.011350779078037112,0.5062299750800997,0.5124392802339561,0.006209305153856426,0.5735324091397211,0.2442220308709647,2296.019073597788,1112.5662937916225,0.17564147165429514
sj_cb_ft_fonly,2022,all,a1_count,A1 볼카운트,3-1,5605,0.02264902696062585,0.5095450490633363,0.5118351154297194,0.00229006636638307,0.6025859416156423,0.2396005935020115,4124.822631274749,2177.974683677767,0.04767174777918707
sj_cb_ft_fonly,2022,all,a1_count,A1 볼카운트,3-2,11806,0.04770640718950023,0.5016940538709131,0.5078112439700421,0.006117190099128922,0.5835084731933919,0.2433381655046405,2663.6164471199986,4659.10319086859,0.7164667719547341
