model,eval,fit,axis,axis_title,bin,n_eval,shift_xfer,logit_xfer,bias_fit,bias_eval,c,b
ye_hand,2024,2022,a1_count,A1 볼카운트,3-1,5227,2.1640554961235274,-0.10183814346800131,0.02253653261159594,0.016398373192043847,-0.02253653261159594,0.8313492325464495
ye_hand,2024,2022,a1_count,A1 볼카운트,3-2,10403,7.042065565563159,7.120278860326841,0.01813670291935643,0.01949106362535924,-0.01813670291935643,0.7887970734525764
ye_hand,2024,2022,a1b_phase,A1b 카운트 국면,초구 0-0,57385,12.828155529284173,3.108980961723758,0.007220028123891553,0.012256199770725174,-0.007220028123891553,0.8105065791851612
ye_hand,2024,2022,a1b_phase,A1b 카운트 국면,투수우위 0-1,27768,0.6926188843854227,-1.3763034946313226,-0.002794594190821842,-0.0038897593709681377,0.002794594190821842,0.7891162350408475
ye_hand,2024,2022,a1b_phase,A1b 카운트 국면,평행 1-1,22332,3.6011982126724082,-4.721731066548724,0.0031584546193796914,0.015836694581328692,-0.0031584546193796914,0.8152604745904551
ye_hand,2024,2022,a1b_phase,A1b 카운트 국면,타자우위 1-0/2-0/2-1,43190,23.970190411663726,23.756999994815764,0.011928137501839575,0.018957183112651155,-0.011928137501839575,0.991707765061988
ye_hand,2024,2022,a1b_phase,A1b 카운트 국면,2스트라이크,54456,0.978721761375997,-7.175582465299652,0.004904514720020736,0.0034755858911326154,-0.004904514720020736,0.653016650847048
ye_hand,2024,2022,a1b_phase,A1b 카운트 국면,3볼,7963,-2.451543155442033,-9.373967332960968,0.021779742951853087,0.0069425027584102406,-0.021779742951853087,0.6973317349907169
ye_hand,2024,2022,a1b_phase,A1b 카운트 국면,풀카운트,10403,7.042065565563159,7.120278860326841,0.01813670291935643,0.01949106362535924,-0.01813670291935643,0.7887970734525764
ye_hand,2024,2022,a2_li,A2 경기 중요도 li,li<0.10,24526,-3.893460729879361,-12.406880565677696,0.01923116037236222,0.007310419505756838,-0.01923116037236222,0.48577879329638785
ye_hand,2024,2022,a2_li,A2 경기 중요도 li,0.10-0.35,28107,3.3700235461227765,0.15063045217318297,0.007625892850345484,0.008203561464866727,-0.007625892850345484,0.7904309071497749
ye_hand,2024,2022,a2_li,A2 경기 중요도 li,0.35-0.70,49973,13.132435506625178,-1.1777165666029668,0.00612379249478523,0.015045488028215592,-0.00612379249478523,0.7883010747926557
ye_hand,2024,2022,a2_li,A2 경기 중요도 li,0.70-1.20,57499,3.788207753157435,-1.2072647829103165,0.004190944791793827,0.006485418364817641,-0.004190944791793827,0.849962647030189
ye_hand,2024,2022,a2_li,A2 경기 중요도 li,1.20-2.00,41631,4.963673755242204,2.418821802946426,0.0042064450804867315,0.010018548075865663,-0.0042064450804867315,0.9168184635646318
ye_hand,2024,2022,a2_li,A2 경기 중요도 li,li>=2.00,21761,5.167256260970563,3.6136898129679964,0.008384860577807407,0.012100726422166475,-0.008384860577807407,0.8912527708009633
ye_hand,2024,2022,a3_load,A3 전시즌 경기당 대비 등판 투구수,<0.25,42782,4.544578032135876,-0.007014990197872741,0.006929597570736079,0.007745570666214785,-0.006929597570736079,0.7889289294753793
ye_hand,2024,2022,a3_load,A3 전시즌 경기당 대비 등판 투구수,0.25-0.50,39845,7.335230449934198,2.3323869447274173,0.007647446561754423,0.010546072941327977,-0.007647446561754423,0.7817656834879068
ye_hand,2024,2022,a3_load,A3 전시즌 경기당 대비 등판 투구수,0.50-0.75,33206,3.9515993134877205,2.4737506633289383,0.0033761245111286753,0.011531243924847279,-0.0033761245111286753,0.8324458682592034
ye_hand,2024,2022,a3_load,A3 전시즌 경기당 대비 등판 투구수,0.75-1.00,26002,-0.045105093207045574,-1.0034325706124145,-5.3338283731885205e-05,0.00905524540618513,5.3338283731885205e-05,0.9556870395033649
ye_hand,2024,2022,a3_load,A3 전시즌 경기당 대비 등판 투구수,1.00-1.25,12785,4.907455666471154,-1.7550579375646431,0.006842080379109716,0.019087291846120624,-0.006842080379109716,0.6867534889244812
ye_hand,2024,2022,a3_load,A3 전시즌 경기당 대비 등판 투구수,1.25-1.50,5772,-0.45385035555872727,-1.0200418372448083,0.014103028415770158,0.005494575218377318,-0.014103028415770158,0.6316710931051561
ye_hand,2024,2022,a3_load,A3 전시즌 경기당 대비 등판 투구수,>=1.50,12990,-0.17424362164850168,-0.16329892010354727,0.0076849643100476706,0.0033550619800781223,-0.0076849643100476706,0.8969757299453034
ye_hand,2024,2022,a3_load,A3 전시즌 경기당 대비 등판 투구수,전시즌없음,50115,9.781201468601743,2.0297829273001335,0.011524102147399962,0.010491548445761556,-0.011524102147399962,0.8747437127570054
ye_hand,2024,2022,a3b_gp,A3b 등판 내 투구수,1-10,67227,20.032144946826268,9.164981412075452,0.010991113762606253,0.013066319647306035,-0.010991113762606253,0.7654441881765044
ye_hand,2024,2022,a3b_gp,A3b 등판 내 투구수,11-20,46277,8.124671635242805,2.713221451851142,0.006636928462632863,0.0107055153074328,-0.006636928462632863,0.8119446950215757
ye_hand,2024,2022,a3b_gp,A3b 등판 내 투구수,21-35,33726,3.5532782399009073,-2.901145752325729,0.008292549360900625,0.007694195616826938,-0.008292549360900625,0.7833560339588895
ye_hand,2024,2022,a3b_gp,A3b 등판 내 투구수,36-60,36847,3.091906990955075,0.16662920081335228,0.005967559997498317,0.006910456384986441,-0.005967559997498317,0.8856872759754342
ye_hand,2024,2022,a3b_gp,A3b 등판 내 투구수,61-80,24208,0.9948858397084052,-1.3776405968697423,0.001858206099797477,0.0071052564668658835,-0.001858206099797477,0.8509652294017439
ye_hand,2024,2022,a3b_gp,A3b 등판 내 투구수,81+,15212,-0.5536836221204932,-1.8569919488066582,-0.0009524332355875798,0.01019560203463643,0.0009524332355875798,0.9270914304527265
ye_hand,2024,2022,a4_prevp,A4 전시즌 투구수,없음,50115,9.781201468601743,2.0297829273001335,0.011524102147399962,0.010491548445761556,-0.011524102147399962,0.8747437127570054
