model,eval,axis,axis_title,shift_xfer,logit_xfer,shift_xfer_glob,logit_xfer_glob,shift_net,logit_net
sj_cb_ft_fonly,2022,a10_base,A10 주자 상황,3.026740205101495,1.1471037309247223,0.23494127761390415,-0.7777476365147578,2.7917989274875907,1.92485136743948
sj_cb_ft_fonly,2022,a11_typemo,A11 game_type x 월블록,3.8735424376993723,9.08669804514334,0.23494127761390415,-0.7777476365147578,3.638601160085468,9.864445681658097
sj_cb_ft_fonly,2022,a12_role,A12 투수 역할(전시즌),-2.4788419558116424,-13.035235247856646,0.23494127761390415,-0.7777476365147578,-2.7137832334255467,-12.257487611341888
sj_cb_ft_fonly,2022,a13_tens,A13 이닝 x 점수차,-4.7580691807809,-16.39405754072423,0.23494127761390415,-0.7777476365147578,-4.993010458394805,-15.616309904209473
sj_cb_ft_fonly,2022,a1_count,A1 볼카운트,-6.363410078299925,-18.59159001418907,0.23494127761390415,-0.7777476365147578,-6.598351355913829,-17.813842377674312
sj_cb_ft_fonly,2022,a1b_phase,A1b 카운트 국면,-6.026028022776272,-15.13066406086877,0.23494127761390415,-0.7777476365147578,-6.260969300390176,-14.352916424354014
sj_cb_ft_fonly,2022,a2_li,A2 경기 중요도 li,-4.605402748102477,-12.812747242075035,0.23494127761390415,-0.7777476365147578,-4.840344025716381,-12.034999605560278
sj_cb_ft_fonly,2022,a3_load,A3 전시즌 경기당 대비 등판 투구수,-4.82506632336596,-23.08108873699609,0.23494127761390415,-0.7777476365147578,-5.060007600979865,-22.303341100481333
sj_cb_ft_fonly,2022,a3b_gp,A3b 등판 내 투구수,-2.136017002767276,-5.639397494001225,0.23494127761390415,-0.7777476365147578,-2.3709582803811804,-4.861649857486467
sj_cb_ft_fonly,2022,a4_prevp,A4 전시즌 투구수,2.976873839086514,-6.87477662487057,0.23494127761390415,-0.7777476365147578,2.74193256147261,-6.097028988355812
sj_cb_ft_fonly,2022,a5_asofn,A5 투수 누적 이력,-1.5632941247823942,-13.324789011334088,0.23494127761390415,-0.7777476365147578,-1.7982354023962983,-12.547041374819331
sj_cb_ft_fonly,2022,a6_psucc,A6 투수 수준 5분위,-8.040390196115478,-13.688432748048903,0.23494127761390415,-0.7777476365147578,-8.275331473729382,-12.910685111534146
sj_cb_ft_fonly,2022,a7_inning,A7 이닝,-1.3735014146645053,-9.091862996033168,0.23494127761390415,-0.7777476365147578,-1.6084426922784094,-8.31411535951841
sj_cb_ft_fonly,2022,a8_hand,A8 손 매치업,-3.528764389542437,-12.96780879763284,0.23494127761390415,-0.7777476365147578,-3.7637056671563416,-12.190061161118082
sj_cb_ft_fonly,2022,a9_batn,A9 타자 누적 이력,-6.375470507572453,-8.12563333989887,0.23494127761390415,-0.7777476365147578,-6.610411785186358,-7.3478857033841125
sj_cb_ft_fonly,2024,a10_base,A10 주자 상황,2.924576600141492,4.874164628681136,-0.12176156603325063,-0.7426895537839069,3.046338166174743,5.616854182465043
sj_cb_ft_fonly,2024,a11_typemo,A11 game_type x 월블록,-5.121861510799124,0.9625093075176063,-0.12176156603325063,-0.7426895537839069,-5.000099944765873,1.7051988613015132
sj_cb_ft_fonly,2024,a12_role,A12 투수 역할(전시즌),-6.7751888372566045,-8.13553270861249,-0.12176156603325063,-0.7426895537839069,-6.653427271223354,-7.392843154828582
sj_cb_ft_fonly,2024,a13_tens,A13 이닝 x 점수차,-5.172604015770062,-17.131494954541107,-0.12176156603325063,-0.7426895537839069,-5.050842449736812,-16.3888054007572
sj_cb_ft_fonly,2024,a1_count,A1 볼카운트,-0.26901186587619896,-6.319971905369293,-0.12176156603325063,-0.7426895537839069,-0.14725029984294835,-5.577282351585386
sj_cb_ft_fonly,2024,a1b_phase,A1b 카운트 국면,-0.3522626964663872,-2.958729917278587,-0.12176156603325063,-0.7426895537839069,-0.23050113043313658,-2.21604036349468
sj_cb_ft_fonly,2024,a2_li,A2 경기 중요도 li,-4.807144106958268,-12.94271711791931,-0.12176156603325063,-0.7426895537839069,-4.685382540925017,-12.200027564135404
sj_cb_ft_fonly,2024,a3_load,A3 전시즌 경기당 대비 등판 투구수,-4.42982750343033,-5.182339251428877,-0.12176156603325063,-0.7426895537839069,-4.308065937397079,-4.4396496976449695
sj_cb_ft_fonly,2024,a3b_gp,A3b 등판 내 투구수,-1.179407683753587,-2.057793002714452,-0.12176156603325063,-0.7426895537839069,-1.0576461177203362,-1.315103448930545
sj_cb_ft_fonly,2024,a4_prevp,A4 전시즌 투구수,-2.0404831684669356,-11.548877530035726,-0.12176156603325063,-0.7426895537839069,-1.9187216024336848,-10.80618797625182
sj_cb_ft_fonly,2024,a5_asofn,A5 투수 누적 이력,-2.0077629193489503,-13.085809962577642,-0.12176156603325063,-0.7426895537839069,-1.8860013533156996,-12.343120408793736
sj_cb_ft_fonly,2024,a6_psucc,A6 투수 수준 5분위,-9.197902921852435,-13.702167942066849,-0.12176156603325063,-0.7426895537839069,-9.076141355819185,-12.959478388282943
sj_cb_ft_fonly,2024,a7_inning,A7 이닝,-5.860351271206331,-11.26141319057182,-0.12176156603325063,-0.7426895537839069,-5.73858970517308,-10.518723636787914
sj_cb_ft_fonly,2024,a8_hand,A8 손 매치업,0.48044745579196735,-2.756591048021507,-0.12176156603325063,-0.7426895537839069,0.602209021825218,-2.0139014942376
sj_cb_ft_fonly,2024,a9_batn,A9 타자 누적 이력,-0.9383433593276496,-1.9035112559019451,-0.12176156603325063,-0.7426895537839069,-0.816581793294399,-1.1608217021180383
sj_e2var,2022,a10_base,A10 주자 상황,-15.190141965974384,-11.51716628321812,-17.555162435802053,-13.181529184997162,2.3650204698276696,1.6643629017790413
sj_e2var,2022,a11_typemo,A11 game_type x 월블록,-6.47884856372429,2.4020435070114017,-17.555162435802053,-13.181529184997162,11.076313872077764,15.583572692008563
sj_e2var,2022,a12_role,A12 투수 역할(전시즌),-19.805815392603837,-24.593554639961027,-17.555162435802053,-13.181529184997162,-2.2506529568017832,-11.412025454963866
sj_e2var,2022,a13_tens,A13 이닝 x 점수차,-23.184894232234555,-28.1993148658664,-17.555162435802053,-13.181529184997162,-5.629731796432502,-15.017785680869236
sj_e2var,2022,a1_count,A1 볼카운트,-26.754997480893813,-35.56231846819433,-17.555162435802053,-13.181529184997162,-9.19983504509176,-22.380789283197167
sj_e2var,2022,a1b_phase,A1b 카운트 국면,-26.12447319104463,-31.088835076969442,-17.555162435802053,-13.181529184997162,-8.569310755242576,-17.90730589197228
sj_e2var,2022,a2_li,A2 경기 중요도 li,-22.738198515886957,-25.189539882757654,-17.555162435802053,-13.181529184997162,-5.183036080084904,-12.008010697760492
sj_e2var,2022,a3_load,A3 전시즌 경기당 대비 등판 투구수,-23.301161835073486,-32.345745197393185,-17.555162435802053,-13.181529184997162,-5.745999399271433,-19.164216012396025
sj_e2var,2022,a3b_gp,A3b 등판 내 투구수,-20.01392109573738,-18.122548962977433,-17.555162435802053,-13.181529184997162,-2.4587586599353273,-4.941019777980271
sj_e2var,2022,a4_prevp,A4 전시즌 투구수,-17.11305548088884,-20.937284674300713,-17.555162435802053,-13.181529184997162,0.44210695491321417,-7.755755489303551
sj_e2var,2022,a5_asofn,A5 투수 누적 이력,-21.415684729807875,-22.24893989397444,-17.555162435802053,-13.181529184997162,-3.860522294005822,-9.06741070897728
sj_e2var,2022,a6_psucc,A6 투수 수준 5분위,-22.17243878908384,-26.674269492053202,-17.555162435802053,-13.181529184997162,-4.617276353281788,-13.49274030705604
sj_e2var,2022,a7_inning,A7 이닝,-19.501388507896774,-19.997744293589154,-17.555162435802053,-13.181529184997162,-1.9462260720947206,-6.816215108591992
sj_e2var,2022,a8_hand,A8 손 매치업,-19.980408187953582,-26.972787079559936,-17.555162435802053,-13.181529184997162,-2.425245752151529,-13.791257894562774
sj_e2var,2022,a9_batn,A9 타자 누적 이력,-24.33050154755911,-19.79464151867822,-17.555162435802053,-13.181529184997162,-6.775339111757056,-6.613112333681057
sj_e2var,2024,a10_base,A10 주자 상황,5.77940538900542,12.013577276649375,3.1992125839505805,8.096282204507315,2.580192805054839,3.9172950721420605
sj_e2var,2024,a11_typemo,A11 game_type x 월블록,-1.3929480441449495,11.518851734932525,3.1992125839505805,8.096282204507315,-4.59216062809553,3.4225695304252106
sj_e2var,2024,a12_role,A12 투수 역할(전시즌),-0.7399819389485587,-0.17233001251351343,3.1992125839505805,8.096282204507315,-3.939194522899139,-8.268612217020827
sj_e2var,2024,a13_tens,A13 이닝 x 점수차,-1.8902953746669624,-8.76558184275703,3.1992125839505805,8.096282204507315,-5.089507958617543,-16.861864047264344
sj_e2var,2024,a1_count,A1 볼카운트,0.25177881879838626,-5.494245015992335,3.1992125839505805,8.096282204507315,-2.9474337651521942,-13.590527220499649
sj_e2var,2024,a1b_phase,A1b 카운트 국면,-0.049109358366879796,-0.24492230244452662,3.1992125839505805,8.096282204507315,-3.2483219423174603,-8.341204506951842
sj_e2var,2024,a2_li,A2 경기 중요도 li,-0.5213576240822335,-3.6316605033064158,3.1992125839505805,8.096282204507315,-3.720570208032814,-11.72794270781373
sj_e2var,2024,a3_load,A3 전시즌 경기당 대비 등판 투구수,0.27005141381273523,2.8670031535862237,3.1992125839505805,8.096282204507315,-2.9291611701378453,-5.229279050921091
sj_e2var,2024,a3b_gp,A3b 등판 내 투구수,2.2284554612754355,5.828455703646941,3.1992125839505805,8.096282204507315,-0.970757122675145,-2.267826500860374
sj_e2var,2024,a4_prevp,A4 전시즌 투구수,3.283106639006629,-2.788864184623291,3.1992125839505805,8.096282204507315,0.08389405505604852,-10.885146389130606
sj_e2var,2024,a5_asofn,A5 투수 누적 이력,1.6697338073040322,0.645705992879279,3.1992125839505805,8.096282204507315,-1.5294787766465483,-7.450576211628036
sj_e2var,2024,a6_psucc,A6 투수 수준 5분위,-2.5115003632142123,-0.049921910920851076,3.1992125839505805,8.096282204507315,-5.710712947164793,-8.146204115428166
sj_e2var,2024,a7_inning,A7 이닝,-3.056155456438046,-3.015181909746196,3.1992125839505805,8.096282204507315,-6.2553680403886265,-11.111464114253511
sj_e2var,2024,a8_hand,A8 손 매치업,7.222217031976397,5.014618955522711,3.1992125839505805,8.096282204507315,4.023004448025817,-3.0816632489846034
sj_e2var,2024,a9_batn,A9 타자 누적 이력,3.2108582277125723,6.836201173858862,3.1992125839505805,8.096282204507315,0.011645643761991842,-1.2600810306484522
sj_grid_w060,2022,a10_base,A10 주자 상황,3.1781880040241828,2.3356194036973768,0.5904136482539802,0.3098459271632611,2.5877743557702027,2.0257734765341158
sj_grid_w060,2022,a11_typemo,A11 game_type x 월블록,13.347823150786873,19.768528398620134,0.5904136482539802,0.3098459271632611,12.757409502532893,19.45868247145687
sj_grid_w060,2022,a12_role,A12 투수 역할(전시즌),-2.398033063646988,-13.874946472497578,0.5904136482539802,0.3098459271632611,-2.988446711900968,-14.18479239966084
sj_grid_w060,2022,a13_tens,A13 이닝 x 점수차,-4.388054631803044,-15.216062860805682,0.5904136482539802,0.3098459271632611,-4.978468280057024,-15.525908787968943
sj_grid_w060,2022,a1_count,A1 볼카운트,-9.24537705119384,-21.77528307261087,0.5904136482539802,0.3098459271632611,-9.83579069944782,-22.08512899977413
sj_grid_w060,2022,a1b_phase,A1b 카운트 국면,-8.735775472192078,-17.218420268137727,0.5904136482539802,0.3098459271632611,-9.326189120446058,-17.52826619530099
sj_grid_w060,2022,a2_li,A2 경기 중요도 li,-4.692483236759092,-12.237023695349098,0.5904136482539802,0.3098459271632611,-5.282896885013072,-12.546869622512359
sj_grid_w060,2022,a3_load,A3 전시즌 경기당 대비 등판 투구수,-5.199923144962969,-24.284794060522206,0.5904136482539802,0.3098459271632611,-5.790336793216949,-24.59463998768547
sj_grid_w060,2022,a3b_gp,A3b 등판 내 투구수,-1.862968277393076,-4.425532902653006,0.5904136482539802,0.3098459271632611,-2.453381925647056,-4.735378829816267
