model,season,scope,subset,n,share,rate,pred_mean,bias,auc,brier,bss_local,deficit,shift_gain_self
sj_cb_ft_fonly,2024,all,False,253507,1.0,0.4861049201797189,0.4861970437249269,9.212354520798938e-05,0.5527455854338691,0.24758949531646898,887.6581082468915,99112.34189175311,0.0033973227611703333
yn_fa10c,2024,all,False,253507,1.0,0.4861049201797189,0.4938146424441924,0.007709722264473473,0.5511136039741094,0.2477694719109689,815.6118296122062,99184.38817038779,23.79430313122926
TEAM,2024,all,False,253507,1.0,0.4861049201797189,0.4952212244378821,0.009116304258163177,0.5524815548511396,0.2476954544574357,845.241693961507,99154.75830603848,33.26849435536951
sj_stdmlp,2024,R,False,223497,1.0,0.4897067969592433,0.48634418566201054,-0.0033626112972327538,0.5545323276762548,0.2475624010983993,933.0549779122621,99066.94502208773,4.524779496583535
sj_grid_w060,2024,R,False,223497,1.0,0.4897067969592433,0.48921753614454805,-0.0004892608146952471,0.554125019525277,0.2475916354508661,921.356279015606,99078.64372098439,0.09579105417831328
sj_e2var,2024,R,False,223497,1.0,0.4897067969592433,0.496932593239086,0.007225796279842711,0.5541413895284684,0.24764795932095351,898.8171789074185,99101.18282109259,20.89370750676702
sj3way_nv,2024,R,True,223227,1.0,0.48967194828582566,0.4948767061351923,0.005204757849366637,0.5517789112069069,0.24777942588703833,845.9231182159965,99154.07688178401,10.840427043185786
cw_v17_base,2024,R,False,223497,1.0,0.4897067969592433,0.5001627594146566,0.010455962455413303,0.5528882387561911,0.24778848078201252,842.5847631795435,99157.41523682045,43.74940134894334
hw_v12_honest,2024,R,False,223497,1.0,0.4897067969592433,0.49763760332056167,0.007930806361318377,0.5484729009866023,0.24812469441722276,708.0422899797823,99291.95771002022,25.169742756174678
ye_hand,2024,R,False,223497,1.0,0.4897067969592433,0.4996176779880849,0.009910881028841578,0.547866227126164,0.24815510629972665,695.8723793687116,99304.12762063129,39.30688336884664
sj_cb_ft_fonly,2024,R,False,223497,1.0,0.4897067969592433,0.48935364748938043,-0.0003531494698628679,0.5533490023830088,0.2476378699142415,902.8546526740678,99097.14534732593,0.04990696980533026
yn_fa10c,2024,R,False,223497,1.0,0.4897067969592433,0.496602878233645,0.006896081274401722,0.5510453767193804,0.247857423372734,814.9960347846763,99185.00396521534,19.03043987987794
TEAM,2024,R,False,223497,1.0,0.4897067969592433,0.4986993704802232,0.00899257352097993,0.5532522755020242,0.24773157179295976,865.3580101053216,99134.64198989468,32.360265696426744
