axis,axis_title,lam,fit,eval,d_all,d_R
a7_inning,A7 이닝,0.0,2024,2022,0.0,0.0
a7_inning,A7 이닝,0.5,2024,2022,-0.0008132772122735332,0.011741685768129173
a7_inning,A7 이닝,1.0,2024,2022,-0.0034807098650162516,0.021736160216164535
a7_inning,A7 이닝,1.5,2024,2022,-0.008002298046449141,0.02998342331090953
a7_inning,A7 이닝,2.0,2024,2022,-0.0143780416797199,0.0364834750744194
a8_hand,A8 손 매치업,0.0,2024,2022,0.0,0.0
a8_hand,A8 손 매치업,0.5,2024,2022,0.35650419984995096,-0.13780460447196674
a8_hand,A8 손 매치업,1.0,2024,2022,0.24232422928253072,-0.7140119171244805
a8_hand,A8 손 매치업,1.5,2024,2022,-0.19320420247004222,-1.0631294724561258
a8_hand,A8 손 매치업,2.0,2024,2022,-0.7278376237154589,-1.4718332440377253
a9_batn,A9 타자 누적 이력,0.0,2024,2022,0.0,0.0
a9_batn,A9 타자 누적 이력,0.5,2024,2022,-1.3048225658508272,-1.4231558174149086
a9_batn,A9 타자 누적 이력,1.0,2024,2022,-3.049754488704366,-3.2665252926444737
a9_batn,A9 타자 누적 이력,1.5,2024,2022,-5.184619551279411,-5.471760160191593
a9_batn,A9 타자 누적 이력,2.0,2024,2022,-6.101815518477906,-6.205537806491748
a10_base,A10 주자 상황,0.0,2024,2022,0.0,0.0
a10_base,A10 주자 상황,0.5,2024,2022,0.3384705267949357,0.07602797217350599
a10_base,A10 주자 상황,1.0,2024,2022,-0.034558664108317316,-0.28199236841157926
a10_base,A10 주자 상황,1.5,2024,2022,-0.52812459493407,-0.6359879582529402
a10_base,A10 주자 상황,2.0,2024,2022,-1.118950578726981,-1.0830261045313136
a11_typemo,A11 game_type x 월블록,0.0,2024,2022,0.0,0.0
a11_typemo,A11 game_type x 월블록,0.5,2024,2022,-0.3183528052618385,0.20356388509287626
a11_typemo,A11 game_type x 월블록,1.0,2024,2022,-0.8034738438800559,0.3403989716766773
a11_typemo,A11 game_type x 월블록,1.5,2024,2022,-1.3189901066025413,0.4105052597847134
a11_typemo,A11 game_type x 월블록,2.0,2024,2022,-1.5617026345448721,0.4138827494504085
a12_role,A12 투수 역할(전시즌),0.0,2024,2022,0.0,0.0
a12_role,A12 투수 역할(전시즌),0.5,2024,2022,0.10843809677953686,-0.10974964527179054
a12_role,A12 투수 역할(전시즌),1.0,2024,2022,0.1766034942393162,-0.25457553406431543
a12_role,A12 투수 역할(전시즌),1.5,2024,2022,0.20449619243527195,-0.43447766638894336
a12_role,A12 투수 역할(전시즌),2.0,2024,2022,0.19211619123325363,-0.6494560422897848
a13_tens,A13 이닝 x 점수차,0.0,2024,2022,0.0,0.0
a13_tens,A13 이닝 x 점수차,0.5,2024,2022,0.1511920985294637,0.10456271964949337
a13_tens,A13 이닝 x 점수차,1.0,2024,2022,-0.015717523016519408,-0.0735238560033622
a13_tens,A13 이닝 x 점수차,1.5,2024,2022,-0.47170606750660227,-0.5039670593508845
a13_tens,A13 이닝 x 점수차,2.0,2024,2022,-1.0275924253623998,-1.030085723496768
