axis,axis_title,lam,fit,eval,scope,n_bins,bss,delta,bss_self,w
a7_inning,A7 이닝,1.0,2022,2024,all,4,846.2856161844168,1.043922194976517,932.2962660029855,
a8_hand,A8 손 매치업,0.0,2022,2024,all,4,845.2416939894403,0.0,845.2416939894403,
a8_hand,A8 손 매치업,0.25,2022,2024,all,4,846.8893100460284,1.6476160565881628,879.9677979755893,
a8_hand,A8 손 매치업,0.5,2022,2024,all,4,848.3057316446274,3.0640376551871213,906.0418910462942,
a8_hand,A8 손 매치업,0.75,2022,2024,all,4,849.4909587852705,4.2492647958303,923.4639732015992,
a8_hand,A8 손 매치업,1.0,2022,2024,all,4,850.4449914679913,5.203297478551008,932.2340444414823,
a9_batn,A9 타자 누적 이력,0.0,2022,2024,all,5,845.2416939894403,0.0,845.2416939894403,
a9_batn,A9 타자 누적 이력,0.25,2022,2024,all,5,848.6730554022937,3.431361412853448,880.0781765274435,
a9_batn,A9 타자 누적 이력,0.5,2022,2024,all,5,851.9321585018114,6.690464512371136,906.357197214469,
a9_batn,A9 타자 누적 이력,0.75,2022,2024,all,5,855.0190032879711,9.777309298530895,924.0787560505393,
a9_batn,A9 타자 누적 이력,1.0,2022,2024,all,5,857.9335897608398,12.691895771399572,933.2428530356873,
a10_base,A10 주자 상황,0.0,2022,2024,all,8,845.2416939894403,0.0,845.2416939894403,
a10_base,A10 주자 상황,0.25,2022,2024,all,8,845.1730874469821,-0.06860654245815567,879.3838008601895,
a10_base,A10 주자 상황,0.5,2022,2024,all,8,844.7887022690836,-0.4529917203566356,905.4543560494288,
a10_base,A10 주자 상황,0.75,2022,2024,all,8,844.0885384557562,-1.153155533684071,923.4533595573135,
a10_base,A10 주자 상황,1.0,2022,2024,all,8,843.0725960069663,-2.1690979824739998,933.3808113836883,
a11_typemo,A11 game_type x 월블록,0.0,2022,2024,all,6,845.2416939894403,0.0,845.2416939894403,
a11_typemo,A11 game_type x 월블록,0.25,2022,2024,all,6,852.509490294584,7.267796305143747,884.0016965646291,
a11_typemo,A11 game_type x 월블록,0.5,2022,2024,all,6,858.6447835115418,13.403089522101595,912.9186180112936,
a11_typemo,A11 game_type x 월블록,0.75,2022,2024,all,6,863.6475736403581,18.405879650917882,931.9924583295114,
a11_typemo,A11 game_type x 월블록,1.0,2022,2024,all,6,867.5178606809997,22.27616669155941,941.223217519227,
a12_role,A12 투수 역할(전시즌),0.0,2022,2024,all,4,845.2416939894403,0.0,845.2416939894403,
a12_role,A12 투수 역할(전시즌),0.25,2022,2024,all,4,844.1708528319491,-1.0708411574911452,879.4913126777493,
a12_role,A12 투수 역할(전시즌),0.5,2022,2024,all,4,843.0193797498764,-2.2223142395638433,905.77611523317,
a12_role,A12 투수 역할(전시즌),0.75,2022,2024,all,4,841.7872747431664,-3.454419246273801,924.0961016557026,
a12_role,A12 투수 역할(전시즌),1.0,2022,2024,all,4,840.4745378118306,-4.76715617760965,934.4512719454134,
a13_tens,A13 이닝 x 점수차,0.0,2022,2024,all,9,845.2416939894403,0.0,845.2416939894403,
a13_tens,A13 이닝 x 점수차,0.25,2022,2024,all,9,846.8331437429977,1.5914497535574128,880.1140185345391,
a13_tens,A13 이닝 x 점수차,0.5,2022,2024,all,9,848.1308650162056,2.8891710267653252,906.8954038956579,
a13_tens,A13 이닝 x 점수차,0.75,2022,2024,all,9,849.1348578091084,3.893163819668189,925.5858500728631,
a13_tens,A13 이닝 x 점수차,1.0,2022,2024,all,9,849.8451221217063,4.603428132266004,936.1853570661438,
(전역),(전역 가중 하나),0.0,2022,2024,R,1,872.9650910865528,0.0,940.2506080823936,0.153 0.831 0.000 0.016
a1_count,A1 볼카운트,0.0,2022,2024,R,12,872.9650910865528,0.0,872.9650910865528,
a1_count,A1 볼카운트,0.25,2022,2024,R,12,874.2870284709547,1.3219373844019628,902.7951806387158,
a1_count,A1 볼카운트,0.5,2022,2024,R,12,874.9314393464047,1.966348259851884,925.7464452114506,
a1_count,A1 볼카운트,0.75,2022,2024,R,12,874.8983237127916,1.933232626238805,941.8188848047126,
a1_count,A1 볼카운트,1.0,2022,2024,R,12,874.1876815701821,1.2225904836293466,951.0124994185687,
a1b_phase,A1b 카운트 국면,0.0,2022,2024,R,7,872.9650910865528,0.0,872.9650910865528,
a1b_phase,A1b 카운트 국면,0.25,2022,2024,R,7,874.2091754153857,1.2440843288329688,902.5611285325751,
a1b_phase,A1b 카운트 국면,0.5,2022,2024,R,7,875.1199812996879,2.154890213135104,925.3091778104516,
a1b_phase,A1b 카운트 국면,0.75,2022,2024,R,7,875.6975087394592,2.732417652906406,941.209238920171,
a1b_phase,A1b 카운트 국면,1.0,2022,2024,R,7,875.9417577346884,2.9766666481356197,950.2613118617443,
a2_li,A2 경기 중요도 li,0.0,2022,2024,R,6,872.9650910865528,0.0,872.9650910865528,
a2_li,A2 경기 중요도 li,0.25,2022,2024,R,6,873.8555649851709,0.8904738986180973,904.0705122984605,
a2_li,A2 경기 중요도 li,0.5,2022,2024,R,6,874.3181156257162,1.3530245391634708,927.2451352257405,
