arm,n_atoms,offset,bss_raw,bss_centered,source,mean_gain,d_centered,d_raw
trackman_quality,1,0.009127726209402387,775.5817798226539,808.9336915712786,preprocess_screen,-33.35191174862473,-3.1096832251109845,-0.44356604177448844
no_trackman+rate_geometry,2,0.009418430738676209,771.3193644683925,806.8295237465551,prep_beam,-35.51015927816263,-5.2138510498344885,-4.705981396035895
no_trackman,1,0.009560254461109696,769.7462963192514,806.3339388429291,preprocess_screen,-36.58764252367769,-5.709435953460456,-6.2790495451769175
recent_shape,1,0.009347817062127839,770.7902091464547,805.7698972445793,preprocess_screen,-34.9796880981246,-6.273477551810288,-5.23513671797366
trackman_compact,1,0.00957133120299175,768.3888322783994,805.0613065715528,preprocess_screen,-36.672474293153414,-6.98206822483678,-7.636513586028968
component_compact+rate_geometry,2,0.009133528937945168,771.563796043806,804.9581265947347,prep_beam,-33.39433055092877,-7.085248201654849,-4.461549820622395
ordinal_numeric,1,0.008627624970741599,774.6521303265474,804.4495076860003,preprocess_screen,-29.797377359452867,-7.593867110389283,-1.3732155378809239
component_compact,1,0.008899096422162911,772.293935793833,803.9959859167167,preprocess_screen,-31.702050122883634,-8.047388879672894,-3.7314100705953024
rate_geometry+trackman_compact,2,0.008480588523112731,774.9915038057109,803.7818910988426,prep_beam,-28.790387293131744,-8.261483697546964,-1.0338420587174824
ordinal_numeric+rate_geometry,2,0.00860498422237338,773.0220892982254,802.6632823702639,prep_beam,-29.641193072038504,-9.380092426125657,-3.0032565662029356
component_compact+temporal_cyclic,2,0.010359513861957326,758.7343337942754,801.6953232469426,prep_beam,-42.96098945266726,-10.34805154944695,-17.291012070152988
id_frequency+no_component+trackman_quality,3,0.007550876299562137,769.5697044270977,792.3936243365737,prep_beam,-22.82391990947599,-19.64975045981589,-6.455641437330655
id_frequency+no_component+temporal_cyclic+trackman_quality,4,0.009530238825148196,754.8793904195384,791.2376504740304,prep_beam,-36.35826005449201,-20.805724322359197,-21.145955444889978
id_frequency+no_component+rate_geometry+trackman_quality,4,0.007481922452208578,768.0432288651451,790.4522005888759,prep_beam,-22.408971723730815,-21.59117420751363,-7.982116999283221
context_robust+id_frequency+no_component+temporal_cyclic,4,0.010009256588603743,749.6572636459642,789.7623234844887,prep_beam,-40.105059838524426,-22.28105131190091,-26.36808221846411
context_robust+id_frequency+no_component,3,0.007588054185613646,766.135677113533,789.1849043993426,prep_beam,-23.049227285809593,-22.858470397046972,-9.88966875089534
id_frequency+no_component+temporal_cyclic,3,0.00957041001941511,751.195947747374,787.8613633660602,prep_beam,-36.66541561868621,-24.18201143032934,-24.829398117054325
id_frequency+no_component,2,0.007492368079056566,763.6517662760078,786.123352697099,prep_beam,-22.47158642109116,-25.920022099290577,-12.373579588420512
no_component,1,0.009404229951827436,750.6871536661741,786.0903116710726,preprocess_screen,-35.4031580048985,-25.95306312531693,-25.338192198254205
no_component+rate_geometry,2,0.009057068975988625,747.9203698945613,780.7579294853762,prep_beam,-32.83755959081486,-31.285445311013405,-28.10497596986704
no_component+temporal_cyclic,2,0.009501177448259845,735.7777285977418,771.9145860000887,prep_beam,-36.13685740234689,-40.12878879630091,-40.247617266686575
drop_ids,1,0.008592486275273925,725.4294574097986,754.9846108033443,preprocess_screen,-29.555153393545652,-57.05876399304532,-50.595888454629744
drop_ids+rate_geometry,2,0.00878239123935698,723.5150582148964,754.3910618880378,prep_beam,-30.87600367314144,-57.652312908351746,-52.51028764953196
drop_ids+temporal_cyclic,2,0.010569594531496529,705.0510558430423,749.772125034609,prep_beam,-44.7210691915667,-62.27124976178061,-70.97429002138608
