combo,n_features,bss_raw,bss_centered,offset,src,d_centered,d_per_100feat
ordinal_numeric+temporal_cyclic,280,768.2402757698381,814.9702714739249,0.010804386430606383,fit 52s,2.9268966775352965,1.0453202419768917
context_robust+id_frequency+ordinal_numeric,286,789.5332897043584,814.9679347125516,0.007971041652529043,fit 36s,2.924559916162025,1.0225733972594493
context_robust+rate_geometry,300,780.8936503608921,814.9199886864022,0.0092195525953771,fit 58s,2.8766138900126634,0.9588712966708878
count_multiscale+temporal_cyclic,298,767.230597429136,814.7322383331601,0.010893226762597186,fit 59s,2.6888635367705547,0.9023032002585754
rate_geometry+trackman_quality,301,782.287015800498,814.4758034446476,0.00896715234475387,fit 59s,2.4324286482579964,0.8081158299860454
id_frequency+ordinal_numeric+rate_geometry+trackman_quality,305,788.6125701537571,814.3179083135443,0.008013346071993332,fit 39s,2.2745335171547367,0.7457486941490941
context_robust+id_frequency+no_trackman,188,788.7484914574916,814.1571914052959,0.007966975114083008,fit 35s,2.1138166089062906,1.1243705366522823
id_frequency+ordinal_numeric,276,788.7016799634661,814.1019909852498,0.007965659818882309,fit 35s,2.058616188860242,0.7458754307464646
component_compact+id_frequency,272,786.6419626734067,814.0202881796954,0.008270003237288714,fit 39s,1.9769133833058277,0.7268063909212601
id_frequency+rate_multiscale,336,789.129558361823,813.9746996845054,0.007878126933891672,fit 43s,1.931324888115796,0.574799073843987
id_frequency+recent_shape+temporal_cyclic,296,771.0399009135726,813.7489772778395,0.010329096335677523,fit 42s,1.705602481449887,0.5762170545438807
rate_geometry,-1,779.0786137357841,813.7150059892351,0.009301833530428016,cache,1.6716311928455525,
id_frequency+trackman_compact,231,789.8413063311849,813.6648091850996,0.00771445139495458,fit 39s,1.6214343887099858,0.7019196487922016
no_trackman+temporal_cyclic,182,769.4901827414502,813.5644542739074,0.010492882502236955,fit 53s,1.5210794775177874,0.8357579546801029
id_frequency+no_trackman,178,788.2790602640077,813.5480736917167,0.00794504536585644,fit 35s,1.5046988953271239,0.845336458048946
count_multiscale,-1,777.1617105060913,813.2213003797295,0.009491014343281978,cache,1.1779255833399702,
context_robust,-1,776.6003020141854,812.8088158751879,0.009510592815403673,cache,0.7654410787982897,
rate_multiscale,-1,779.6723740013279,812.788145721699,0.009095355496421764,cache,0.7447709253094672,
context_robust+id_frequency+trackman_compact,241,787.833527677706,812.2686967042658,0.007812857658574479,fit 40s,0.22532190787626405,0.09349456758351204
temporal_cyclic+trackman_compact,235,769.889907342236,812.0629741257934,0.010264075313981491,fit 56s,0.01959932940383169,0.008340140171843272
baseline,-1,776.0253458644283,812.0433747963896,0.009485543271382124,cache,0.0,
rate_geometry+rate_multiscale,350,781.9564025804859,812.0418390539342,0.008669227431305215,fit 61s,-0.0015357424554167665,-0.0004387835586905047
context_robust+id_frequency+recent_shape+temporal_cyclic,306,769.7691275559082,811.9135096632757,0.01026058408391245,fit 41s,-0.12986513311386716,-0.04243958598492391
context_robust+temporal_cyclic,290,766.1642055743379,811.1433414773384,0.010600047032021831,fit 57s,-0.9000333190512038,-0.31035631691420823
recent_shape+temporal_cyclic,292,763.3103120105122,811.0952392160864,0.010925660534047643,fit 58s,-0.9481355803031875,-0.32470396585725597
component_shape,-1,774.752240896548,810.9454861332632,0.009508587361926613,cache,-1.097888663126355,
id_frequency+ordinal_numeric+trackman_quality,287,786.3533833477599,810.9363177116192,0.007836445166081063,fit 36s,-1.1070570847704175,-0.38573417587819425
component_shape+temporal_cyclic,292,764.7362793186785,810.6375922451891,0.010708158532757694,fit 60s,-1.4057825512004456,-0.48143238054809784
component_shape+rate_geometry,302,774.8065610685195,809.8923102718536,0.009361977986218961,fit 59s,-2.1510645245359683,-0.712273021369526
trackman_quality,-1,775.5817798226539,808.9336915712786,0.009127726209402387,cache,-3.1096832251109845,
no_trackman+rate_geometry,192,771.3193644683925,806.8295237465551,0.009418430738676209,fit 53s,-5.2138510498344885,-2.7155474217887963
no_trackman,-1,769.7462963192514,806.3339388429291,0.009560254461109696,cache,-5.709435953460456,
recent_shape,-1,770.7902091464547,805.7698972445793,0.009347817062127839,cache,-6.273477551810288,
trackman_compact,-1,768.3888322783994,805.0613065715528,0.00957133120299175,cache,-6.98206822483678,
component_compact+rate_geometry,286,771.563796043806,804.9581265947347,0.009133528937945168,fit 56s,-7.085248201654849,-2.477359511068129
ordinal_numeric,-1,774.6521303265474,804.4495076860003,0.008627624970741599,cache,-7.593867110389283,
component_compact,-1,772.293935793833,803.9959859167167,0.008899096422162911,cache,-8.047388879672894,
